school_name,country
"Sechenov University","Russia"
"Sunway University","Malaysia"
"Syracuse University","United States"
"Tokushima University","Japan"
"Ulster University","United Kingdom"
"Universidad de Antioquia","Colombia"
"Universidad ICESI","Colombia"
"Universidad Peruana Cayetano Heredia (UPCH)","Peru"
"Universidad Pontificia Bolivariana","Colombia"
"Universidade Federal de Minas Gerais","Brazil"
"Universität Rostock","Germany"
"Université Claude Bernard Lyon ,"France"
"Universiti Teknologi MARA - UiTM","Malaysia"
"University of Crete","Greece"
"University of Hull","United Kingdom"
"University of Hyderabad","India"
"University of Kentucky","United States"
"University of Massachusetts Boston","United States"
"University of Mons","Belgium"
"University of New Brunswick","Canada"
"University of New Mexico","United States"
"University of Oklahoma","United States"
"University of Oregon","United States"
"University of Pecs","Hungary"
"University of Portsmouth","United Kingdom"
"University of Salamanca","Spain"
"University of Trieste","Italy"
"University of Vermont","United States"
"Zayed University","United Arab Emirates"
"Abu Dhabi University","United Arab Emirates"
"Ajman University","United Arab Emirates"
"Al Ain University","United Arab Emirates"
"Beijing University of Technology","China (Mainland)"
"Bogaziçi University","Turkey"
"Brno University of Technology","Czech Republic"
"Charles Darwin University","Australia"
"City University of New York","United States"
"Gunma University","Japan"
"Indian Institute of Technology Bhubaneswar","India"
"Instituto Tecnológico de Buenos Aires (ITBA)","Argentina"
"Istanbul Technical University","Turkey"
"Jouf University","Saudi Arabia"
"Lebanese University","Lebanon"
"Middlesex University","United Kingdom"
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""","Ukraine"
"New Jersey Institute of Technology (NJIT)","United States"
"Northumbria University at Newcastle","United Kingdom"
"Notre Dame University-Louaize NDU","Lebanon"
"O.P. Jindal Global University","India"
"Osaka Prefecture University","Japan"
"Philipps-Universität Marburg","Germany"
"Plekhanov Russian University of Economics","Russia"
"Politecnico di Bari","Italy"
"Prince Mohammad Bin Fahd university","Saudi Arabia"
"Saint Petersburg Electrotechnical University ETU-LETI","Russia"
"Stevens Institute of Technology","United States"
"Sumy State University","Ukraine"
"Tokyo Metropolitan University","Japan"
"Ufa State Aviation Technical University","Russia"
"Universidad Central de Venezuela","Venezuela"
"Universidad de La Sabana","Colombia"
"Universidad de San Andrés - UdeSA","Argentina"
"Universidad Iberoamericana IBERO","Mexico"
"Universidade de Santiago de Compostela","Spain"
"Universität Potsdam","Germany"
"Universitat Rovira i Virgili","Spain"
"Université Côte d\'Azur","France"
"Université de Sousse","Tunisia"
"University of Bradford","United Kingdom"
"University of Haifa","Israel"
"University of Houston","United States"
"University of Huddersfield","United Kingdom"
"University of Modena and Reggio Emilia","Italy"
"University of Southern Queensland","Australia"
"University of the Basque Country","Spain"
"University of Westminster","United Kingdom"
"University of Windsor","Canada"
"Virginia Commonwealth University","United States"
"American University of the Middle East","Kuwait"
"Belarusian National Technical University (BNTU)","Belarus"
"Bournemouth University","United Kingdom"
"Chonnam National University","South Korea"
"Chungnam National University","South Korea"
"Clarkson University","United States"
"Dankook University","South Korea"
"Georgia State University","United States"
"Institut Teknologi Sepuluh Nopember (ITS Surabaya)","Indonesia"
"Instituto Politécnico Nacional (IPN)","Mexico"
"Instituto Tecnológico Autónomo de México (ITAM)","Mexico"
"Jamia Millia Islamia","India"
"Jinan University (China)","China (Mainland)"
"Karaganda State Technical University","Kazakhstan"
"Keele University","United Kingdom"
"Lanzhou University","China (Mainland)"
"Manipal Academy of Higher Education, Manipal, Karnataka, India","India"
"Maynooth University","Republic of Ireland"
"Memorial University of Newfoundland","Canada"
"Northwest University (China)","China (Mainland)"
"Pontificia Universidad Católica de Valparaíso","Chile"
"Princess Nourah bint Abdulrahman University","Saudi Arabia"
"Riga Technical University","Latvia"
"Ritsumeikan University","Japan"
"Shiraz University","Iran, Islamic Republic of"
"Southern Cross University","Australia"
"Tallinn University of Technology (TalTech)","Estonia"
"Temple University","United States"
"Universidad Adolfo Ibáñez","Chile"
"Universidad de la República (Udelar)","Uruguay"
"Universidad del Rosario","Colombia"
"Universidad San Francisco de Quito (USFQ)","Ecuador"
"Universidad Torcuato Di Tella","Argentina"
"Universidade Federal do Rio Grande Do Sul","Brazil"
"Università degli Studi di Perugia","Italy"
"Université de Sherbrooke","Canada"
"Universiti Tenaga Nasional (UNITEN)","Malaysia"
"University at Albany SUNY","United States"
"University Duesseldorf","Germany"
"University of Brescia","Italy"
"University of Central Florida","United States"
"University of Denver","United States"
"University of Greenwich","United Kingdom"
"University of Maryland, Baltimore County","United States"
"University of Zagreb","Croatia"
"Vilnius Gediminas Technical University","Lithuania"
"Worcester Polytechnic Institute","United States"
"Academician Y.A. Buketov Karaganda University","Kazakhstan"
"Adam Mickiewicz University, Poznan","Poland"
"AGH University of Science and Technology","Poland"
"Ain Shams University","Egypt"
"Ankara Üniversitesi","Turkey"
"Anna University","India"
"Auburn University","United States"
"Australian Catholic University","Australia"
"Bangladesh University of Engineering and Technology","Bangladesh"
"Beijing Foreign Studies University","China (Mainland)"
"Beijing Jiaotong University","China (Mainland)"
"Beijing University of Chinese Medicine","China (Mainland)"
"Beijing University of Posts and Telecommunications","China (Mainland)"
"Beirut Arab University","Lebanon"
"Bielefeld University","Germany"
"Binghamton University SUNY","United States"
"Budapest University of Technology and Economics","Hungary"
"Ca' Foscari University of Venice","Italy"
"Catania University","Italy"
"Charles Sturt University","Australia"
"Clemson University","United States"
"Corvinus University of Budapest","Hungary"
"Cracow University of Technology (Politechnika Krakowska)","Poland"
"CY Cergy Paris University","France"
"Czech University of Life Sciences in Prague","Czech Republic"
"De La Salle University","Philippines"
"De Montfort University","United Kingdom"
"Edinburgh Napier University","United Kingdom"
"Financial University under the Government of the Russian Federation","Russia"
"Florida International University","United States"
"Fordham University","United States"
"Gdansk University of Technology","Poland"
"George Mason University","United States"
"German Jordanian University","Jordan"
"Gulf University for Science and Technology","Kuwait"
"Hacettepe University","Turkey"
"Harbin Engineering University","China (Mainland)"
"Indiana University–Purdue University Indianapolis","United States"
"International Christian University","Japan"
"Islamic University of Madinah","Saudi Arabia"
"Istanbul University","Turkey"
"Jordan University of Science & Technology","Jordan"
"Kansas State University","United States"
"Kasetsart University","Thailand"
"Kaunas University of Technology","Lithuania"
"Kazakh Ablai Khan University of International Relations and World Languages","Kazakhstan"
"Kazakh-British Technical University","Kazakhstan"
"Kazan National Research Technological University","Russia"
"Khon Kaen University","Thailand"
"King Faisal University","Saudi Arabia"
"King Mongkut's University of Technology Thonburi","Thailand"
"Kyoto Institute of Technology","Japan"
"Kyushu Institute of Technology","Japan"
"Liverpool John Moores University","United Kingdom"
"Lodz University of Technology","Poland"
"London Metropolitan University","United Kingdom"
"London South Bank University","United Kingdom"
"Louisiana State University","United States"
"Loyola University Chicago","United States"
"Lviv Polytechnic National University","Ukraine"
"Manchester Metropolitan University (MMU)","United Kingdom"
"Mendel University in Brno","Czech Republic"
"Mendeleev University of Chemical Technology","Russia"
"Nanjing University of Aeronautics and Astronautics","China (Mainland)"
"National Chung Cheng University","Taiwan"
"Nicolaus Copernicus University","Poland"
"NJSC KIMEP University","Kazakhstan"
"Nottingham Trent University","United Kingdom"
"Novosibirsk State Technical University","Russia"
"Oklahoma State University","United States"
"Paris Lodron University of Salzburg","Austria"
"Perm State National Research University","Russia"
"Pondicherry University","India"
"Pontifícia Universidade Católica de São Paulo","Brazil"
"Poznan University of Technology","Poland"
"Prince of Songkla University","Thailand"
"Princess Sumaya University for Technology","Jordan"
"Qassim University","Saudi Arabia"
"Queen Margaret University , Edinburgh","United Kingdom"
"Rhodes University","South Africa"
"Riga Stradins University","Latvia"
"Robert Gordon University","United Kingdom"
"Russian Presidential Academy of National Economy and Public Administration","Russia"
"Rutgers University–Newark","United States"
"Ryerson University","Canada"
"Seattle University","United States"
"Shinshu University","Japan"
"Siksha 'O' Anusandhan (Deemed to be University)","India"
"Silesian University of Technology","Poland"
"Slovak University of Technology in Bratislava","Slovakia"
"Sophia University","Japan"
"South Ural State University (National Research University)","Russia"
"Southern Methodist University","United States"
"Széchenyi István University","Hungary"
"Szent Istvan University","Hungary"
"Technical University of Kosice","Slovakia"
"Technical University of Liberec","Czech Republic"
"Technological University Dublin","Republic of Ireland"
"Tecnológico de Costa Rica -TEC","Costa Rica"
"Texas Tech University","United States"
"The University of Alabama","United States"
"Tokyo University of Science","Japan"
"TU Dortmund University","Germany"
"Universidad Autónoma de Chapingo","Mexico"
"Universidad Autónoma del Estado de Hidalgo (UAEH)","Mexico"
"Universidad Autónoma del Estado de México (UAEMex)","Mexico"
"Universidad Autónoma Metropolitana (UAM)","Mexico"
"Universidad Católica Andres Bello","Venezuela"
"Universidad Católica del Uruguay (UCU)","Uruguay"
"Universidad de Guadalajara (UDG)","Mexico"
"Universidad de las Américas Puebla (UDLAP)","Mexico"
"Universidad de Los Andes - (ULA) Mérida","Venezuela"
"Universidad de los Andes - Chile","Chile"
"Universidad de Oviedo","Spain"
"Universidad del Valle","Colombia"
"Universidad Diego Portales (UDP)","Chile"
"Universidad EAFIT","Colombia"
"Universidad Nacional de Córdoba - UNC","Argentina"
"Universidad Nacional de Rosario (UNR)","Argentina"
"Universidad Nacional de San Luis","Argentina"
"Universidad Nacional Mayor de San Marcos","Peru"
"Universidad Simón Bolívar (USB)","Venezuela"
"Universidad Técnica Federico Santa María (USM)","Chile"
"Universidad Tecnológica de Panamá (UTP)","Panama"
"Universidad Tecnológica Nacional (UTN)","Argentina"
"Universidade Católica Portuguesa - UCP","Portugal"
"Universidade da Coruña","Spain"
"Universidade de Brasília","Brazil"
"Universidade Federal de Pernambuco (UFPE)","Brazil"
"Universidade Federal de Santa Catarina","Brazil"
"Universidade Federal de São Carlos (UFSCar)","Brazil"
"Universidade Federal do Paraná - UFPR","Brazil"
"Universita' degli Studi di Ferrara","Italy"
"Università degli Studi di Udine","Italy"
"Università degli studi Roma Tre","Italy"
"Universita' Politecnica delle Marche","Italy"
"Universitas Padjadjaran","Indonesia"
"Universität Duisburg-Essen","Germany"
"Université de Lille","France"
"Université de Lorraine","France"
"Université de Nantes","France"
"Université de Rennes ,"France"
"Université Toulouse 1 Capitole","France"
"Universiti Kuala Lumpur (UniKL)","Malaysia"
"Universiti Malaysia Pahang","Malaysia"
"Universiti Malaysia Perlis","Malaysia"
"Universiti Tunku Abdul Rahman (UTAR)","Malaysia"
"University of Alicante","Spain"
"University of Baghdad","Iraq"
"University of Bahrain","Bahrain"
"University of Bari","Italy"
"University of Brighton","United Kingdom"
"University of Calcutta","India"
"University of Central Lancashire","United Kingdom"
"University of Dhaka","Bangladesh"
"University of East London","United Kingdom"
"University of Engineering & Technology (UET) Lahore","Pakistan"
"UNIVERSITY OF GDANSK","Poland"
"University of Hartford","United States"
"University of Hertfordshire","United Kingdom"
"University of Hradec Kralove","Czech Republic"
"University of Kwazulu-Natal","South Africa"
"University of Lincoln","United Kingdom"
"University of Lodz","Poland"
"University of Malta","Malta"
"University of Maribor","Slovenia"
"University of Messina (UniME)","Italy"
"University of Mississippi","United States"
"University of Missouri, Kansas City","United States"
"University of Murcia","Spain"
"University of Naples Parthenope","Italy"
"University of New England Australia","Australia"
"University of New Hampshire","United States"
"University of Palermo","Italy"
"University of Parma","Italy"
"University of Patras","Greece"
"University of Salerno","Italy"
"University of Salford","United Kingdom"
"University of Santo Tomas","Philippines"
"University of Seoul","South Korea"
"University of Texas at San Antonio","United States"
"University of the Punjab","Pakistan"
"University of the West of England","United Kingdom"
"University of Tulsa","United States"
"University of Tyumen","Russia"
"University of Wisconsin Milwaukee","United States"
"University of Wroclaw","Poland"
"University of Wyoming","United States"
"University of Žilina","Slovakia"
"Verona University","Italy"
"Viet Nam National University Ho Chi Minh City (VNU-HCM)","Vietnam"
"Vietnam National University, Hanoi","Vietnam"
"Vytautas Magnus University","Lithuania"
"West Virginia University","United States"
"Wroclaw University of Science and Technology (WRUST)","Poland"
"Wuhan University of Technology","China (Mainland)"
"Xi'an Jiaotong Liverpool University","China (Mainland)"
"Yamaguchi University","Japan"
"Yerevan State University","Armenia"
"Yeungnam University","South Korea"
"Yokohama National University","Japan"
"Al Quds University The Arab University in Jerusalem","Palestinian Territory, Occupied"
"Al-Azhar University","Egypt"
"Alexandria University","Egypt"
"Aligarh Muslim University","India"
"Amity University","India"
"Amrita Vishwa Vidyapeetham","India"
"Anadolu University","Turkey"
"An-Najah National University","Palestinian Territory, Occupied"
"Assiut University","Egypt"
"Athens University of Economics and Business","Greece"
"Azerbaijan State University of Economics","Azerbaijan"
"Babes-Bolyai University","Romania"
"Baku State University","Azerbaijan"
"Banaras Hindu University","India"
"Baylor University","United States"
"Belarusian State University of Informatics and Radioelectronics","Belarus"
"Benemérita Universidad Autónoma de Puebla","Mexico"
"Bina Nusantara University (BINUS)","Indonesia"
"Birla Institute of Technology and Science, Pilani","India"
"Birmingham City University","United Kingdom"
"BRAC University","Bangladesh"
"Brigham Young University","United States"
"British University in Egypt","Egypt"
"Brock University","Canada"
"Canterbury Christ Church University","United Kingdom"
"Católica de Córdoba","Argentina"
"Chang Jung Christian University","Taiwan"
"China University of Political Science and Law","China (Mainland)"
"Chung Yuan Christian University","Taiwan"
"Chungbuk National University","South Korea"
"COMSATS University Islamabad","Pakistan"
"Diponegoro University","Indonesia"
"Doshisha University","Japan"
"EGE UNIVERSITY","Turkey"
"Escuela Politécnica Nacional","Ecuador"
"Escuela Superior Politécnica del Litoral (ESPOL)","Ecuador"
"Feng Chia University","Taiwan"
"Florida Atlantic University - Boca Raton","United States"
"Fu Jen Catholic University","Taiwan"
"Gazi Üniversitesi","Turkey"
"Glasgow Caledonian University","United Kingdom"
"Harper Adams University","United Kingdom"
"Imam Mohammad Ibn Saud Islamic University – IMSIU","Saudi Arabia"
"Indian Institute of Information Technology, Allahabad","India"
"Irkutsk State University","Russia"
"Istanbul Aydin University","Turkey"
"Istanbul Bilgi Üniversitesi","Turkey"
"Ivan Franko National University of Lviv","Ukraine"
"Izmir Institute of Technology (IZTECH)","Turkey"
"Jamia Hamdard","India"
"Jeju National University","South Korea"
"Kangwon National University","South Korea"
"Kent State University","United States"
"King Mongkut\'s Institute of Technology Ladkrabang","Thailand"
"Kookmin University","South Korea"
"Kuwait University","Kuwait"
"Leeds Beckett University","United Kingdom"
"Makerere University","Uganda"
"Marquette University","United States"
"Meiji University","Japan"
"Miami University","United States"
"Mississippi State University","United States"
"Multimedia University (MMU)","Malaysia"
"Mustansiriyah University","Iraq"
"Mutah University","Jordan"
"Nagoya Institute of Technology (NIT)","Japan"
"National Dong Hwa University","Taiwan"
"National Taiwan Ocean University","Taiwan"
"National University of Kyiv-Mohyla Academy (NaUKMA)","Ukraine"
"North South University","Bangladesh"
"Northern Arizona University","United States"
"North-West University","South Africa"
"Ohio University","United States"
"OSMANIA UNIVERSITY","India"
"Panjab University","India"
"Paul Valéry University Montpellier","France"
"Pontificia Universidad Católica del Ecuador (PUCE)","Ecuador"
"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)","Brazil"
"Portland State University","United States"
"Pukyong National University","South Korea"
"Rikkyo University","Japan"
"Rochester Institute of Technology (RIT)","United States"
"Russian State University for the Humanities","Russia"
"Saint-Petersburg Mining University","Russia"
"Saitama University","Japan"
"Saken Seifullin Kazakh Agrotechnical University","Kazakhstan"
"San Diego State University","United States"
"Seoul National University of Science and Technology","South Korea"
"Shahid Beheshti University (SBU)","Iran, Islamic Republic of"
"Shanghai International Studies University","China (Mainland)"
"Sheffield Hallam University","United Kingdom"
"Siberian Federal University, SibFU","Russia"
"Slovak University of Agriculture in Nitra","Slovakia"
"Sookmyung Women's University","South Korea"
"Suez Canal University","Egypt"
"Taibah University","Saudi Arabia"
"Tallinn University","Estonia"
"Technical University of Lublin","Poland"
"Telkom University","Indonesia"
"Thapar Institute of Engineering & Technology","India"
"The Herzen State Pedagogical University of Russia","Russia"
"The Josip Juraj Strossmayer University of Osijek","Croatia"
"The National Research University ""Belgorod State University""","Russia"
"The University of Lahore","Pakistan"
"The University of Northampton","United Kingdom"
"The University of Texas at Arlington","United States"
"Tokai University","Japan"
"Tomas Bata University in Zlin","Czech Republic"
"Ton Duc Thang University","Vietnam"
"Universidad Andrés Bello","Chile"
"Universidad Austral de Chile","Chile"
"Universidad Autónoma de Nuevo León","Mexico"
"Universidad Central del Ecuador","Ecuador"
"Universidad de Castilla-La Mancha","Spain"
"Universidad de Córdoba - Colombia","Colombia"
"Universidad de La Frontera (UFRO)","Chile"
"Universidad de Lima","Peru"
"Universidad de Monterrey (UDEM)","Mexico"
"Universidad de Puerto Rico","Puerto Rico"
"Universidad de Talca","Chile"
"Universidad de Valparaíso (UV)","Chile"
"Universidad del Desarrollo (UDD)","Chile"
"Universidad del Norte","Colombia"
"Universidad del Pacífico","Peru"
"Universidad Industrial de Santander - UIS","Colombia"
"Universidad Metropolitana","Venezuela"
"Universidad Nacional Agraria la Molina","Peru"
"Universidad Nacional de Cuyo","Argentina"
"Universidad Nacional de la Asunción","Paraguay"
"Universidad Nacional de Mar del Plata","Argentina"
"Universidad Nacional de Río Cuarto - UNRC","Argentina"
"Universidad Nacional de San Martín (UNSAM)","Argentina"
"Universidad Nacional, Costa Rica","Costa Rica"
"Universidad Peruana de Ciencias Aplicadas","Peru"
"Universidad Rey Juan Carlos","Spain"
"Universidad Tecnológica de la Habana José Antonio Echeverría, Cujae","Cuba"
"Universidade de Vigo","Spain"
"Universidade do Estado do Rio de Janeiro (UERJ)","Brazil"
"Universidade Federal da Bahia","Brazil"
"Universidade Federal de Juiz de Fora- (UFJF)","Brazil"
"Universidade Federal de Pelotas","Brazil"
"Universidade Federal de Viçosa (UFV)","Brazil"
"Universidade Federal do Ceará (UFC)","Brazil"
"Universidade Federal Fluminense","Brazil"
"Universita' degli Studi ""G. d'Annunzio"" Chieti Pescara","Italy"
"Università degli Studi della Tuscia (University of Tuscia)","Italy"
"Universitas Brawijaya","Indonesia"
"Universitas Hasanuddin","Indonesia"
"Universität Siegen","Germany"
"Universitatea de Vest din Timisoara / West University of Timisoara","Romania"
"Université de Poitiers","France"
"Université de Toulouse II-Le Mirail","France"
"Université Jean Moulin Lyon ,"France"
"Université Lumière Lyon ,"France"
"Université Paris-Nanterre","France"
"Universiti Malaysia Sabah (UMS)","Malaysia"
"Universiti Malaysia Sarawak (UNIMAS)","Malaysia"
"Universiti Malaysia Terengganu (UMT)","Malaysia"
"University of Agriculture, Faisalabad","Pakistan"
"University of Arkansas Fayetteville","United States"
"University of Belgrade","Serbia"
"University of Bialystok","Poland"
"University of Bucharest","Romania"
"University of Calabria","Italy"
"University of Colombo","Sri Lanka"
"University of Derby","United Kingdom"
"University of Ghana","Ghana"
"University of International Business and Economics","China (Mainland)"
"University of Karachi","Pakistan"
"University of Kufa","Iraq"
"University of Latvia","Latvia"
"University of Miskolc","Hungary"
"University of Montana Missoula","United States"
"University of Mumbai","India"
"University of Nairobi","Kenya"
"University of Niš","Serbia"
"University of North Carolina at Charlotte","United States"
"University of North Texas","United States"
"University of Novi Sad","Serbia"
"University of Ostrava","Czech Republic"
"University of Pardubice","Czech Republic"
"University of Peradeniya","Sri Lanka"
"University of Rhode Island","United States"
"University of Rijeka","Croatia"
"University of San Diego","United States"
"University of San Francisco","United States"
"University of Silesia in Katowice","Poland"
"University of South Alabama (USA)","United States"
"University of Texas El Paso","United States"
"University of the Pacific","United States"
"University of the Sunshine Coast","Australia"
"University of the Western Cape","South Africa"
"University of West Bohemia","Czech Republic"
"University of Wolverhampton","United Kingdom"
"Utah State University","United States"
"Vellore Institute of Technology (VIT)","India"
"Voronezh State University","Russia"
"VSB - Technical University of Ostrava","Czech Republic"
"Warsaw University of Life Sciences – SGGW (WULS-SGGW)","Poland"
"Western Michigan University","United States"
"Youngsan University","South Korea"
"Yuan Ze University","Taiwan"
"Don State Technical University","Russia"
"Akdeniz Üniversitesi","Turkey"
"Al-Balqa Applied University","Jordan"
"Alexandru Ioan Cuza University","Romania"
"Aoyama Gakuin University","Japan"
"Bahauddin Zakariya University","Pakistan"
"Birzeit university","Palestinian Territory, Occupied"
"Cukurova University","Turkey"
"Damascus University","Syrian Arab Republic"
"Dokuz Eylül Üniversitesi","Turkey"
"German University in Cairo","Egypt"
"Hanoi University of Science and Technology","Vietnam"
"Helwan University","Egypt"
"Hongik University","South Korea"
"Indiana State University","United States"
"ITESO, Universidad Jesuita de Guadalajara","Mexico"
"Kindai University (Kinki University)","Japan"
"Lucian Blaga University of Sibiu","Romania"
"Mansoura University","Egypt"
"Marmara University","Turkey"
"MIREA - Russian Technological University","Russia"
"Moscow City University","Russia"
"Moscow Pedagogical State University","Russia"
"National Research University Moscow Power Engineering Institute (MPEI)","Russia"
"National Taipei University","Taiwan"
"Pontifícia Universidade Católica do Paraná","Brazil"
"Russian State Agrarian University - Moscow Timiryazev Agricultural Academy","Russia"
"Sakarya University","Turkey"
"Shanghai University of Finance and Economics","China (Mainland)"
"Shibaura Institute of Technology","Japan"
"Soochow University (Taiwan)","Taiwan"
"Southwest University","China (Mainland)"
"SRM INSTITUTE OF SCIENCE AND TECHNOLOGY","India"
"Stefan cel Mare University of Suceava","Romania"
"Sudan University of Science and Technology","Sudan"
"Suranaree University of Technology","Thailand"
"Tamkang University","Taiwan"
"Tanta University","Egypt"
"Technical University of Cluj-Napoca","Romania"
"The ""Gheorghe Asachi"" Technical University of Iasi","Romania"
"The Hashemite University","Jordan"
"The University of Notre Dame, Australia","Australia"
"Toraighyrov University","Kazakhstan"
"Transilvania University of Brasov","Romania"
"Tunghai University","Taiwan"
"Universidad Autónoma de Baja California","Mexico"
"Universidad Autónoma de Chile","Chile"
"Universidad Autónoma de Querétaro (UAQ)","Mexico"
"Universidad Autónoma de San Luis de Potosí","Mexico"
"Universidad Autonoma de Yucatan","Mexico"
"Universidad Autónoma del Estado de Morelos (UAEM)","Mexico"
"Universidad Bernardo O'Higgins","Chile"
"Universidad Católica Boliviana ""San Pablo""","Bolivia"
"Universidad Católica de Colombia","Colombia"
"Universidad Católica de Santiago de Guayaquil","Ecuador"
"Universidad Católica del Norte","Chile"
"Universidad de Guanajuato","Mexico"
"Universidad de La Salle","Colombia"
"Universidad de La Serena","Chile"
"Universidad de las Fuerzas Armadas ESPE (Ex - Escuela Politécnica del Ejército)","Ecuador"
"Universidad de Medellín","Colombia"
"Universidad de Panamá - UP","Panama"
"Universidad de Sonora","Mexico"
"Universidad del Bío-Bío","Chile"
"Universidad del Salvador","Argentina"
"Universidad Mayor de San Andrés (UMSA)","Bolivia"
"Universidad Nacional Autónoma de Honduras (UNAH)","Honduras"
"Universidad Nacional de Quilmes","Argentina"
"Universidad Nacional de Tucumà¡n","Argentina"
"Universidad Nacional del Litoral","Argentina"
"Universidad Nacional del Sur","Argentina"
"Universidad San Ignacio de Loyola","Peru"
"Universidad Tecnológica de Bolívar","Colombia"
"Universidad Tecnológica de Pereira","Colombia"
"Universidade Estadual de Londrina","Brazil"
"Universidade Federal da Paraíba","Brazil"
"Universidade Federal de Goiás","Brazil"
"Universidade Federal de Santa Maria","Brazil"
"Università degli studi di Bergamo","Italy"
"Universitas Andalas","Indonesia"
"Universitas Muhammadiyah Surakarta","Indonesia"
"Universitas Sebelas Maret","Indonesia"
"Universitas Sumatera Utara","Indonesia"
"Université de Caen Normandie","France"
"Université de Tunis","Tunisia"
"Université de Tunis El Manar","Tunisia"
"Université Mohammed V de Rabat","Morocco"
"University of Babylon","Iraq"
"University of Basrah","Iraq"
"University of Khartoum","Sudan"
"University of Kragujevac","Serbia"
"University of Sarajevo","Bosnia and Herzegovina"
"University of Split","Croatia"
"University POLITEHNICA of Bucharest","Romania"
"University Politehnica of Timisoara, UPT","Romania"
"Yarmouk University","Jordan"
"Yildiz Technical University","Turkey"
"Zagazig University","Egypt"
"Harvard University","United States of America"
"California Institute of Technology","United States of America"
"Massachusetts Institute of Technology","United States of America"
"Stanford University","United States of America"
"Princeton University","United States of America"
"University of California, Berkeley","United States of America"
"Yale University","United States of America"
"University of California, Los Angeles","United States of America"
"University of Chicago","United States of America"
"Johns Hopkins University","United States of America"
"Cornell University","United States of America"
"ETH Zurich â€“ Swiss Federal Institute of Technology Zurich","Switzerland"
"University of Michigan","United States of America"
"Columbia University","United States of America"
"University of Pennsylvania","United States of America"
"Carnegie Mellon University","United States of America"
"University of Hong Kong","Hong Kong"
"University College London","United Kingdom"
"University of Washington","United States of America"
"Duke University","United States of America"
"Northwestern University","United States of America"
"University of Tokyo","Japan"
"Georgia Institute of Technology","United States of America"
"Pohang University of Science and Technology","South Korea"
"University of California, Santa Barbara","United States of America"
"University of North Carolina at Chapel Hill","United States of America"
"University of California, San Diego","United States of America"
"University of Illinois at Urbana-Champaign","United States of America"
"National University of Singapore","Singapore"
"University of Melbourne","Australia"
"Peking University","China"
"Washington University in St Louis","United States of America"
"Ã‰cole Polytechnique","France"
"University of Edinburgh","United Kingdom"
"Hong Kong University of Science and Technology","Hong Kong"
"Ã‰cole Normale SupÃ©rieure","France"
"Australian National University","Australia"
"Karolinska Institute","Sweden"
"University of GÃ¶ttingen","Germany"
"University of Wisconsin","United States of America"
"Rice University","United States of America"
"Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne","Switzerland"
"University of California, Irvine","United States of America"
"University of Science and Technology of China","China"
"Vanderbilt University","United States of America"
"University of Minnesota","United States of America"
"Tufts University","United States of America"
"University of California, Davis","United States of America"
"Brown University","United States of America"
"University of Massachusetts","United States of America"
"Tsinghua University","China"
"Boston University","United States of America"
"New York University","United States of America"
"Emory University","United States of America"
"LMU Munich","Germany"
"University of Notre Dame","United States of America"
"University of Pittsburgh","United States of America"
"Case Western Reserve University","United States of America"
"Ohio State University","United States of America"
"University of Colorado Boulder","United States of America"
"University of California, Santa Cruz","United States of America"
"Yeshiva University","United States of America"
"University of Sydney","Australia"
"University of Virginia","United States of America"
"University of Adelaide","Australia"
"University of Southern California","United States of America"
"William & Mary","United States of America"
"Trinity College Dublin","Republic of Ireland"
"Kingâ€™s College London","United Kingdom"
"Stony Brook University","United States of America"
"Korea Advanced Institute of Science and Technology (KAIST)","South Korea"
"Heidelberg University","Germany"
"University of Utah","United States of America"
"London School of Economics and Political Science","United Kingdom"
"University of Manchester","United Kingdom"
"Royal Holloway, University of London","United Kingdom"
"Wake Forest University","United States of America"
"University College Dublin","Republic of Ireland"
"George Washington University","United States of America"
"University of Arizona","United States of America"
"University of Maryland, College Park","United States of America"
"Dartmouth College","United States of America"
"Ã‰cole Normale SupÃ©rieure de Lyon","France"
"Rensselaer Polytechnic Institute","United States of America"
"Rutgers, the State University of New Jersey","United States of America"
"Purdue University","United States of America"
"Pennsylvania State University","United States of America"
"Hong Kong Baptist University","Hong Kong"
"Tokyo Institute of Technology","Japan"
"National Taiwan University","Taiwan"
"University of Hawaiâ€™i at MÄnoa","United States of America"
"University of California, Riverside","United States of America"
"Nanjing University","China"
"Michigan State University","United States of America"
"University of Victoria","Canada"
"University of Freiburg","Germany"
"University of Iowa","United States of America"
"University of Sheffield","United Kingdom"
"University of Montreal","Canada"
"VU University Amsterdam","Netherlands"
"Pierre and Marie Curie University","France"
"University of Barcelona","Spain"
"Wageningen University and Research Center","Netherlands"
"University of Auckland","New Zealand"
"Hong Kong Polytechnic University","Hong Kong"
"University of New South Wales","Australia"
"Pompeu Fabra University","Spain"
"Indiana University","United States of America"
"Iowa State University","United States of America"
"Georgia Health Sciences University","United States of America"
"University of Delaware","United States of America"
"Arizona State University","United States of America"
"Boston College","United States of America"
"National Sun Yat-Sen University","Taiwan"
"Georgetown University","United States of America"
"University of WÃ¼rzburg","Germany"
"Sun Yat-sen University","China"
"Goethe University Frankfurt","Germany"
"Nanyang Technological University","Singapore"
"University of East Anglia","United Kingdom"
"Humboldt University of Berlin","Germany"
"University of Bonn","Germany"
